term	idf
agenda	4.009645
agenda der	6.944468
agenda deutschland	6.857457
agenda die	6.397925
agenda für	6.346631
agenda ist	6.451992
agentur	5.758845
aggression	5.876628
aggressive	6.857457
aggressor	5.787015
agieren	4.998558
agiert	5.731446
agnieszka	6.634313
agnieszka brugger	6.634313
agrar	6.944468
agrardiesel	6.123488
agrardieselrückvergütung	6.046527
agrarpolitik	5.816003
agrarstruktur	6.509150
agrarstruktur und	6.509150
ahaus	6.944468
ahmetovic	6.397925
ahnen	6.569775
ahnung	5.353379
ahnung haben	6.857457
ahnung von	6.569775
ai	6.164310
ai act	6.944468
aids	6.703306
akbulut	6.944468
akt	5.876628
akt der	6.634313
akte	6.509150
akten	6.509150
akteur	5.558174
akteur das	6.569775
akteure	4.688403
akteuren	5.558174
aktien	6.509150
aktion	6.206869
aktionen	6.346631
aktionismus	6.857457
aktionsplan	5.845856
aktionsplan zur	6.944468
aktionsprogramm	5.908376
aktionsprogramm natürlicher	5.941166
aktionäre	6.509150
aktiv	4.166214
aktiv zu	6.703306
aktive	5.372072
aktiven	5.678802
aktiver	6.297841
aktivieren	6.777414
aktivisten	6.084267
aktivität	6.703306
aktivitäten	6.123488
aktivrente	4.778015
aktivrente die	6.777414
aktivrente und	6.777414
aktuell	3.700456
aktuell auf	6.569775
aktuell die	6.857457
aktuell im	6.944468
aktuell in	6.777414
aktuell nicht	6.569775
aktuell sind	6.703306
aktuelle	3.967085
aktuelle regierung	6.944468
aktuelle stunde	5.492216
aktuellen	3.638581
aktuellen herausforderungen	6.703306
aktuellen lage	6.857457
aktuellen stunde	5.093868
aktueller	6.206869
aktuelles	6.703306
akut	6.206869
akute	6.509150
akuten	6.569775
akuter	6.944468
akzente	6.123488
akzeptabel	6.206869
akzeptanz	4.717391
akzeptanz der	6.944468
akzeptanz für	6.857457
akzeptanz und	6.509150
akzeptieren	5.079684
akzeptieren dass	6.569775
akzeptiert	6.251321
al	5.231490
al faschir	6.251321
alaa	6.634313
alaa alhamwi	6.777414
alabali	5.704777
alabali radovan	5.704777
alarm	6.164310
alarmierend	6.634313
albani	6.346631
albert	6.703306
albtraum	6.346631
alexander	4.273459
alexander dobrindt	4.972916
alexander hoffmann	6.777414
alexander throm	6.346631
alexander wolf	6.944468
algorithmen	6.164310
alhamwi	6.634313
alice	5.604694
alice weidel	5.678802
alimentieren	6.777414
all	2.680509
all das	3.478732
all dem	5.581163
all den	5.391120
all denjenigen	6.569775
all der	6.569775
all die	5.152709
all diejenigen	6.046527
all dies	5.816003
all diese	4.688403
all diesen	5.430340
all dieser	6.777414
all ihren	6.569775
all jene	6.164310
all unsere	6.857457
alldem	6.634313
alle aber	6.569775
alle akteure	6.944468
alle an	6.084267
alle anderen	4.467166
alle auch	6.164310
alle auf	6.206869
alle beteiligten	6.206869
alle bezahlbar	6.777414
alle bürgerinnen	6.777414
alle da	6.857457
alle das	5.845856
alle dass	5.876628
alle demokratischen	6.944468
alle der	6.857457
alle deutschen	6.703306
alle die	4.122008
alle diese	5.908376
alle drei	6.010159
alle ein	6.451992
alle einig	5.975068
alle einzahlen	6.777414
alle fraktionen	6.251321
alle für	6.206869
alle gemeinsam	5.816003
alle generationen	6.164310
alle gleich	6.777414
alle haben	5.281920
alle hier	5.024875
alle ihre	6.703306
alle im	6.857457
alle in	4.998558
alle kennen	5.816003
alle kinder	6.123488
alle mal	6.634313
alle meine	6.857457
alle menschen	4.407890
alle mit	6.251321
alle miteinander	6.703306
alle möglichkeiten	6.634313
alle müssen	5.975068
alle nicht	6.164310
alle noch	6.944468
alle parteien	6.777414
alle personen	6.509150
alle probleme	6.206869
alle sie	6.857457
alle sind	5.264826
alle und	5.653484
alle unsere	5.975068
alle unternehmen	6.569775
alle verkehrsträger	6.703306
alle vielen	6.944468
alle vier	6.569775
alle von	6.634313
alle welt	6.703306
alle werden	6.703306
alle wir	6.084267
alle wissen	4.660232
alle wollen	6.084267
alle wünschen	6.703306
alle zu	6.206869
alle zusammen	6.777414
alle zwei	6.634313
alledem	6.346631
allein	2.652764
allein an	6.857457
allein auf	6.046527
allein aus	6.857457
allein bei	6.297841
allein das	5.975068
allein der	6.084267
allein die	4.985655
allein diese	6.857457
allein durch	5.787015
allein für	5.513722
allein im	5.011630
allein in	4.660232
allein milliarden	6.634313
allein mit	6.569775
allein reicht	6.164310
allein schon	6.569775
allein um	6.857457
allein und	6.703306
allein wird	6.634313
alleine	4.143866
alleine nicht	6.944468
alleine reicht	6.944468
alleinerziehende	5.281920
alleinerziehende mutter	6.777414
alleinerziehenden	6.346631
alleingang	6.297841
alleingelassen	6.046527
alleingelassen werden	6.569775
alleingänge	6.569775
alleinlassen	6.703306
allem	2.382965
allem aber	5.372072
allem an	6.084267
allem auch	4.632833
allem auf	6.251321
allem aus	6.509150
allem bei	6.123488
allem das	6.634313
allem dass	6.703306
allem den	5.941166
allem der	5.908376
allem die	4.669535
allem durch	6.703306
allem ein	6.944468
allem eine	5.941166
allem eines	6.164310
allem eins	6.397925
allem für	5.492216
allem im	6.123488
allem in	5.372072
allem ist	6.509150
allem mit	6.164310
allem müssen	6.634313
allem nicht	6.634313
allem um	6.084267
allem und	6.777414
allem unsere	6.944468
allem von	6.164310
allem was	5.628791
allem wenn	6.634313
allemal	6.944468
allen	2.317714
allen anderen	5.471162
allen bereichen	5.787015
allen beteiligten	6.634313
allen die	5.317012
allen dingen	3.755115
allen ebenen	5.941166
allen ecken	6.509150
allen ernstes	5.628791
allen hier	6.123488
allen klar	6.346631
allen kolleginnen	6.944468
allen menschen	6.251321
allen seiten	5.941166
allen soldatinnen	6.857457
allen teilen	6.944468
allen voran	5.581163
allenfalls	6.509150
aller	2.824692
aller anderen	6.634313
aller deutlichkeit	5.199229
aller die	6.944468
aller klarheit	6.703306
aller kraft	5.941166
aller menschen	5.628791
aller sicherheit	6.777414
aller welt	5.758845
aller zeiten	6.509150
allerdings	3.507553
allerdings auch	6.251321
allerdings dass	6.944468
allerdings die	6.346631
allerdings in	6.297841
allerdings ist	6.010159
allerdings klar	6.569775
allerdings nicht	5.731446
allerdings nur	5.941166
allererster	6.857457
allererstes	6.451992
allermeisten	5.628791
alles	2.067884
alles aber	6.569775
alles an	6.944468
alles andere	4.606165
alles auf	5.908376
alles besser	6.397925
alles dafür	5.317012
alles daransetzen	6.046527
alles das	6.777414
alles die	6.944468
alles ein	6.777414
alles für	6.297841
alles ganz	6.777414
alles gesagt	6.944468
alles gut	6.123488
alles gute	5.372072
alles hat	6.451992
alles im	6.346631
alles in	4.985655
alles ist	5.248019
alles mit	6.397925
alles muss	6.777414
alles mögliche	6.569775
alles nicht	5.604694
alles nichts	6.397925
alles noch	6.397925
alles nur	5.908376
alles richtig	6.857457
alles schon	6.857457
alles sind	5.731446
alles so	6.206869
alles tun	6.084267
alles um	6.777414
alles und	6.346631
alles unter	6.703306
alles was	4.563240
alles wird	6.509150
alles zu	6.509150
alles über	6.569775
allesamt	6.857457
allgemein	5.731446
allgemeine	5.653484
allgemeinen	5.011630
allgemeinheit	5.513722
allheilmittel	6.569775
allianz	5.941166
allianzen	6.634313
alliierten	6.944468
alltag	3.921829
alltag der	5.513722
alltag in	6.777414
alltag und	6.944468
alltäglichen	6.857457
allzu	5.471162
allzu oft	6.206869
almosen	6.397925
alois	5.787015
alois rainer	5.787015
als abgeordnete	5.876628
als abgeordneter	6.397925
als afd	4.189072
als allererstes	6.509150
als alternative	5.678802
als ampel	6.857457
als andere	6.857457
als auch	4.000029
als auf	6.634313
als bei	6.297841
als beispiel	6.164310
als bisher	5.787015
als bund	5.941166
als bundeskanzler	6.634313
als bundesregierung	5.299312
als bundesrepublik	6.509150
als bundestag	6.944468
als bundestagsabgeordnete	6.944468
als bürger	6.634313
als cdu	5.065697
als chance	6.857457
als das	4.372550
als dass	5.845856
als demokratische	6.569775
als den	6.297841
als der	4.842554
als deutlich	6.944468
als deutsche	5.908376
als deutscher	6.857457
als deutschland	5.758845
als die	3.431567
als diese	6.703306
als drei	6.634313
als ehemaliger	6.857457
als ein	4.105922
als eine	4.407890
als einen	6.251321
als einzige	6.297841
als er	5.845856
als erfolg	6.777414
als erste	6.206869
als erstes	5.787015
als es	5.199229
als eu	6.777414
als euro	6.397925
als europa	6.569775
als europäer	6.703306
als europäische	6.857457
als finanzminister	6.703306
als folge	6.944468
als fraktion	6.046527
als frau	6.634313
als für	6.397925
als ganzes	6.206869
als gesellschaft	5.281920
als gesetzgeber	5.975068
als gesichert	6.569775
als große	6.509150
als grundlage	6.634313
als größte	6.944468
als grüne	5.391120
als gäbe	6.251321
als haushaltsgesetzgeber	6.857457
als haushälter	6.634313
als heute	6.451992
als hätte	6.569775
als hätten	6.569775
als ich	4.899712
als ihr	6.777414
als ihre	6.010159
als im	4.960337
als in	4.809764
als internationaler	6.569775
als je	6.703306
als jede	6.703306
als jeder	6.703306
als jemand	5.845856
als kind	6.703306
als koalition	4.084868
als land	6.164310
als letzte	5.492216
als letzten	6.703306
als letzter	5.908376
als linke	4.415110
als linksfraktion	6.944468
als man	6.857457
als menschen	6.206869
als milliarden	5.471162
als millionen	5.391120
als minister	6.944468
als mit	6.509150
als mitglied	6.164310
als mittel	6.777414
als neue	6.046527
als nicht	6.857457
als noch	6.346631
als nur	5.065697
als nächste	5.845856
als nächster	5.248019
als nächstes	4.292507
als ob	5.264826
als opfer	6.777414
als opposition	6.251321
als parlament	5.372072
als parlamentarier	6.857457
als politik	5.653484
als politiker	6.509150
als politische	6.857457
als prozent	5.317012
als regierung	5.787015
als regierungskoalition	6.944468
als sei	6.569775
als sich	6.509150
als sie	4.386536
als sogenannte	6.944468
als solche	6.634313
als sozialdemokraten	6.857457
als spd	4.606165
als staat	5.845856
als teil	5.492216
als um	6.084267
als union	4.799069
als unionsfraktion	6.297841
als uns	6.944468
als verdoppelt	6.777414
als verlässlicher	6.634313
als vertreter	6.944468
als verwaltungsakt	6.569775
als von	6.777414
als vor	6.297841
als waffe	6.297841
als wenn	6.206869
als wir	4.820575
als wäre	5.353379
als wären	6.251321
als würde	5.581163
als würden	6.509150
als ziel	6.857457
als zu	6.206869
als zwei	6.703306
als über	6.777414
also	2.012614
also an	6.703306
also auch	5.372072
also auf	5.876628
also aus	6.777414
also bei	6.634313
also bitte	6.569775
also da	6.703306
also das	5.038298
also dass	6.634313
also den	6.164310
also der	5.391120
also die	4.482551
also diese	6.634313
also ein	5.731446
also eine	5.535701
also einen	6.251321
also es	6.251321
also für	6.046527
also ganz	6.777414
also genau	6.397925
also gerade	6.944468
also herr	6.777414
also ich	5.678802
also im	5.975068
also in	5.581163
also ist	6.451992
also kein	6.634313
also keine	6.164310
also lassen	6.944468
also liebe	6.634313
also mehr	6.509150
also meine	6.703306
also mit	5.845856
also nicht	4.831504
also noch	6.046527
also nur	6.164310
also schon	6.857457
also sie	6.397925
also so	6.944468
also um	5.816003
also von	5.787015
also vor	6.634313
also was	6.569775
also wenn	6.084267
also wie	6.569775
also wieder	6.857457
also wir	5.908376
also wirklich	6.634313
also zu	6.777414
also über	6.703306
alt	4.474829
alt und	6.206869
alte	4.177578
alte bundesregierung	6.944468
alten	4.064249
alten bundestag	6.944468
alter	4.224370
alter und	6.857457
alter von	6.777414
alternative	3.824911
alternative für	4.236418
alternative zu	6.944468
alternativen	5.079684
alternativlos	6.857457
altersarmut	5.372072
altersgerechten	6.509150
altersgerechten umbau	6.857457
alterspräsident	6.944468
alterssicherung	6.251321
altersversorgung	6.297841
altersvorsorge	5.391120
altersvorsorge und	6.857457
altes	6.397925
althea	6.569775
altlasten	6.857457
altparteien	5.024875
altschulden	6.569775
altötting	6.297841
altötting cdu	6.346631
am anfang	4.911547
am arbeitsmarkt	6.777414
am arbeitsplatz	6.857457
am august	6.857457
am beginn	6.944468
am beispiel	6.206869
am besten	4.669535
am boden	6.777414
am deutschen	6.777414
am dezember	6.297841
am dienstag	6.569775
am dringendsten	6.164310
am eigenen	6.634313
am ende	2.637949
am ersten	6.634313
am februar	6.509150
am freitag	6.346631
am geld	6.777414
am haushalt	6.944468
am herzen	5.450543
am heutigen	6.346631
am härtesten	6.857457
am juli	6.569775
am juni	6.010159
am landete	6.634313
am laufen	4.831504
am leben	6.346631
am letzten	6.297841
am liebsten	5.941166
am limit	5.876628
am mai	5.941166
am main	6.944468
am markt	6.569775
am meisten	5.079684
am mittwoch	6.046527
am monatsende	6.857457
am montag	5.558174
am november	6.123488
am nächsten	6.857457
am oktober	5.281920
am rand	6.944468
am rande	6.046527
am rednerpult	6.777414
am schluss	6.084267
am september	6.206869
am sonntag	6.509150
am standort	6.509150
am stärksten	6.297841
am tag	5.678802
am tisch	6.509150
am vergangenen	5.941166
am wenigsten	6.777414
am wochenende	5.558174
amadeu	6.509150
amadeu antonio	6.509150
amazon	6.569775
amazonas	6.777414
ambition	6.944468
ambitionen	6.164310
ambitioniert	6.206869
ambitionierte	6.397925
ambitionierten	6.164310
ambulanten	6.634313
amerika	5.430340
amerikaner	5.430340
amerikanern	6.634313
amerikanische	5.317012
amerikanischen	5.122856
amerikanischen präsidenten	6.777414
ampel	3.797186
ampel die	6.777414
ampel hat	6.084267
ampel und	6.569775
ampelkoalition	5.787015
ampelregierung	4.842554
ampelzeit	6.703306
amt	3.828935
amt der	6.634313
amt des	6.857457
amt ist	6.251321
amt und	5.908376
amtes	5.704777
amthor	6.703306
amts	6.857457
amtsantritt	5.558174
amtsantritt der	6.346631
amtsberg	6.123488
amtshilfe	6.777414
amtszeit	5.492216
an aber	5.876628
an all	5.908376
an alle	4.853727
an allen	6.010159
an andere	6.634313
an anderen	6.451992
an anderer	5.450543
an auch	6.703306
an bahnhöfen	6.346631
an bord	6.346631
an bürokratie	6.944468
an damit	6.569775
an dann	6.944468
an das	3.820903
an dass	5.167976
an dem	4.111255
an den	2.734363
an denen	5.410538
an denn	6.857457
an der	2.448707
an deren	6.857457
an deutschen	6.634313
an deutschland	6.703306
an die	2.280172
an diejenigen	6.634313
an diese	5.758845
an diesem	4.292507
an diesen	5.231490
an dieser	2.965637
an dieses	6.397925
an ein	5.653484
an eine	5.391120
an einem	4.218400
an einen	5.535701
an einer	4.651016
an einigen	6.857457
an erster	6.397925
an es	5.845856
an flughäfen	6.944468
an frau	6.944468
an frauen	6.703306
an für	6.509150
an ganz	6.634313
an geld	6.944468
an grenzen	6.703306
an herr	6.777414
an herrn	6.451992
an ich	5.787015
an ihnen	6.509150
an ihr	6.164310
an ihre	5.122856
an ihrem	6.569775
an ihren	5.787015
an ihrer	5.011630
an in	6.297841
an internationale	6.703306
an investitionen	6.703306
an israel	6.703306
an jedem	6.703306
an jeder	6.777414
an kindern	6.857457
an land	6.164310
an liebe	6.944468
an lösungen	6.857457
an maßnahmen	6.777414
an meine	5.513722
an meiner	6.944468
an menschen	6.509150
an mit	5.908376
an neuen	6.703306
an recht	6.569775
an schulen	6.857457
an seine	6.569775
an seiner	6.777414
an sich	5.353379
an sicherheit	6.777414
an sie	4.218400
an so	6.703306
an steuergeldern	6.857457
an steuern	6.944468
an um	6.569775
an und	4.183308
an uns	4.960337
an unser	6.777414
an unsere	4.831504
an unserem	6.046527
an unseren	5.024875
an unserer	5.430340
an vielen	4.809764
an was	5.816003
an weil	6.777414
an wenn	6.509150
an wettbewerbsfähigkeit	6.703306
an wie	6.164310
an wir	5.051904
an wo	6.206869
an zu	6.509150
an zwei	6.297841
an über	6.857457
analog	6.777414
analogen	6.346631
analyse	5.450543
analysen	6.297841
analysieren	6.509150
analysiert	6.857457
anbelangt	6.164310
anbetracht	6.451992
anbieten	5.604694
anbieter	5.653484
anbietern	6.944468
anbietet	6.944468
anbindung	6.703306
and	5.167976
and order	6.451992
and stay	6.164310
andauernden	6.569775
andere	2.346597
andere als	5.492216
andere das	6.857457
andere die	5.787015
andere dinge	6.346631
andere ist	5.628791
andere länder	4.985655
andere maßnahmen	6.944468
andere mehr	6.857457
andere menschen	6.703306
andere nicht	6.944468
andere richtung	6.703306
andere seite	6.703306
andere sind	6.857457
andere sprache	6.944468
andere staaten	6.703306
andere und	6.703306
anderem	3.878532
anderem auch	6.346631
anderem die	6.164310
anderem mit	6.569775
anderem von	6.857457
anderen	2.213868
anderen afghanischen	6.569775
anderen bereichen	5.816003
anderen das	6.777414
anderen die	5.941166
anderen dingen	6.569775
anderen drittstaat	6.569775
anderen eu	6.569775
